,0,1,2
380,historicapolitica/fritschadvocatus_2.xml,Breslau, 1678. 
381,historicapolitica/fritschadvocatus_3.xml,Breslau, 1678. 
382,historicapolitica/fritschadvocatus_back.xml,Breslau, 1678. 
383,historicapolitica/fritschadvocatus_front.xml,Breslau, 1678. 
384,historicapolitica/fritschaulicus_1.xml,Osterodae , Sumtibus Bartholdi Fuhrmanni; Rudolstadi[i] 
385,historicapolitica/fritschaulicus_2.xml,Osterodae , Sumtibus Bartholdi Fuhrmanni; Rudolstadi[i] 
386,historicapolitica/fritschaulicus_front.xml,Osterodae , Sumtibus Bartholdi Fuhrmanni; Rudolstadi[i] 
387,historicapolitica/fritschfamulus.xml,Norimbergae , 1685.
388,historicapolitica/fritschmedicus.xml,Norimbergae , 1684.
389,historicapolitica/fritschmiles_1.xml,Osterodae , Sumtib. Bartholdi Furmanni; Rudolstadi[i] 
390,historicapolitica/fritschmiles_2.xml,Osterodae , Sumtib. Bartholdi Furmanni; Rudolstadi[i] 
